chr	ref_snp_count	grn_snp_count	ref_gene_count	grn_gene_count	chr_size_mb	snp_density	gene_density
chr1	1084187	73342	5056	1395	249	4354	20
chr10	695935	43130	2155	611	134	5193	16
chr11	683457	36996	3132	758	135	5062	23
chr12	667032	41930	2832	797	133	5015	21
chr13	499592	25880	1270	329	114	4382	11
chr14	453396	27291	2129	467	107	4237	19
chr15	410505	28201	2049	499	102	4024	20
chr16	435450	28609	2382	575	90	4838	26
chr17	384746	32898	2844	756	83	4635	34
chr18	392889	18939	1142	262	80	4911	14
chr19	325670	30823	2746	865	59	5519	46
chr2	1156034	66135	3886	1035	242	4777	16
chr20	305434	19586	1338	390	64	4772	20
chr21	201529	10487	818	157	47	4287	17
chr22	196646	17180	1257	328	51	3855	24
chr3	981548	55631	2945	874	198	4957	14
chr4	1007839	52771	2476	622	190	5304	13
chr5	881512	50114	2799	723	182	4843	15
chr6	914475	64001	2800	790	171	5347	16
chr7	814321	46218	2763	681	159	5121	17
chr8	762499	41577	2295	552	145	5258	15
chr9	600719	35531	2174	558	138	4353	15
chrX	529632	15693	2315	405	156	3395	14
